English,Nepali,Maths,Science,Social
enB,neD,maD,scC,soB
enA,neC,maB,scB,soA
enB,neB,maC,scB,soA
enB,neC,maC,scC,soB
enA,neB,maC,scB,soA
enB,neB,maB,scB,soA
enB,neC,maC,scC,soB
enD,neD,maC,scC,soD
enA,neA,maA,scA,soA
enA,neA,maB,scA,soA
enD,neD,maD,scD,soC
enC,neC,maC,scC,soC
enB,neC,maC,scB,soA
enB,neB,maC,scC,soB
enC,neD,maC,scC,soC
enD,neA,maA,scA,soA
enC,neD,maD,scD,soB
enB,neB,maB,scA,soA
enC,neC,maD,scC,soB
enA,neB,maC,scA,soA
enA,neA,maB,scA,soB
enB,neB,maA,scA,soA
enA,neA,maB,scA,soA
enC,neC,maD,scC,soB
enB,neB,maC,scB,soA
enC,neD,maB,scC,soB
enB,neD,maC,scB,soA
enC,neD,maD,scD,soD
enC,neD,maD,scD,soC
enB,neC,maC,scB,soA
enB,neC,maB,scB,soB
enC,neD,maC,scC,soB
enA,neB,maC,scB,soA
enB,neA,maB,scA,soA
enA,neA,maA,scA,soA
enA,neB,maC,scB,soB
enB,neC,maC,scC,soA
enB,neC,maC,scC,soB
enC,neD,maD,scC,soC
enC,neC,maD,scD,soD
enB,neC,maC,scC,soC
enB,neC,maD,scC,soC
enC,neC,maD,scD,soC
enA,neC,maB,scC,soB
enC,neD,maD,scD,soD
enA,neA,maB,scA,soA
enB,neC,maC,scC,soB
enA,neA,maC,scA,soA
enB,neC,maB,scC,soB
enB,neC,maC,scB,soB
enC,neC,maC,scC,soB
enC,neC,maD,scC,soC
enB,neC,maC,scC,soB
enC,neD,maC,scD,soC
enB,neC,maB,scB,soA
enA,neA,maA,scA,soA
enB,neC,maD,scC,soC
enA,neA,maB,scB,soA
enB,neC,maB,scB,soA
enB,neB,maC,scB,soB
enB,neD,maC,scC,soC
enB,neC,maD,scC,soB
enB,neC,maC,scC,soB
enA,neA,maB,scB,soA
enB,neC,maD,scB,soB
enA,neB,maB,scA,soA
enB,neC,maD,scB,soB
enC,neD,maD,scD,soC
enB,neC,maC,scC,soB
enA,neB,maC,scC,soA
enB,neB,maC,scA,soA
enB,neC,maD,scB,soA
enA,neA,maA,scA,soA
enB,neC,maD,scC,soB
enB,neC,maC,scB,soB
enB,neB,maD,scB,soA
enB,neC,maC,scB,soA
enA,neA,maB,scB,soA
enB,neB,maC,scB,soB
enC,neD,maD,scD,soC
enC,neD,maD,scC,soC
enA,neA,maA,scA,soA
enA,neA,maC,scA,soA
enD,neD,maD,scD,soD
enC,neC,maC,scC,soC
